"subject","predicate","object"
"http://dbpedia.org/resource/Ben_Gascoigne","http://dbpedia.org/ontology/birthDate",1915-11-11
"http://dbpedia.org/resource/Benjamin_Apthorp_Gould","http://dbpedia.org/ontology/birthDate",1824-09-27
"http://dbpedia.org/resource/Benjamin_Banneker","http://dbpedia.org/ontology/birthDate",1731-11-09
"http://dbpedia.org/resource/Bernard_Lovell","http://dbpedia.org/ontology/birthDate",1913-08-31
"http://dbpedia.org/resource/Bernard_Lyot","http://dbpedia.org/ontology/birthDate",1897-02-27
"http://dbpedia.org/resource/Bertil_Lindblad","http://dbpedia.org/ontology/birthDate",1895-11-26
"http://dbpedia.org/resource/Francis_Baily","http://dbpedia.org/ontology/birthDate",1774-04-28
"http://dbpedia.org/resource/Frank_Drake","http://dbpedia.org/ontology/birthDate",1930-05-28
"http://dbpedia.org/resource/Frank_K._Edmondson","http://dbpedia.org/ontology/birthDate",1912-08-01
"http://dbpedia.org/resource/Frank_Schlesinger","http://dbpedia.org/ontology/birthDate",1871-05-11
"http://dbpedia.org/resource/Frank_Washington_Very","http://dbpedia.org/ontology/birthDate",1852-02-12
"http://dbpedia.org/resource/Frank_Watson_Dyson","http://dbpedia.org/ontology/birthDate",1868-01-08
"http://dbpedia.org/resource/Franz_Xaver_von_Zach","http://dbpedia.org/ontology/birthDate",1754-06-04
"http://dbpedia.org/resource/François_Arago","http://dbpedia.org/ontology/birthDate",1786-02-26
"http://dbpedia.org/resource/Fred_Espenak","http://dbpedia.org/ontology/birthDate",1953-08-01
"http://dbpedia.org/resource/Fred_Hoyle","http://dbpedia.org/ontology/birthDate",1915-06-24
"http://dbpedia.org/resource/Fred_Lawrence_Whipple","http://dbpedia.org/ontology/birthDate",1906-11-05
"http://dbpedia.org/resource/Frederick_C._Leonard","http://dbpedia.org/ontology/birthDate",1896-03-12
"http://dbpedia.org/resource/Freeman_Dyson","http://dbpedia.org/ontology/birthDate",1923-12-15
"http://dbpedia.org/resource/Friedrich_Bessel","http://dbpedia.org/ontology/birthDate",1784-07-22
"http://dbpedia.org/resource/Friedrich_Georg_Wilhelm_von_Struve","http://dbpedia.org/ontology/birthDate",1793-04-15
"http://dbpedia.org/resource/Friedrich_Wilhelm_Argelander","http://dbpedia.org/ontology/birthDate",1799-03-22
"http://dbpedia.org/resource/Fritz_Zwicky","http://dbpedia.org/ontology/birthDate",1898-02-14
"http://dbpedia.org/resource/Fulvio_Melia","http://dbpedia.org/ontology/birthDate",1956-08-02
"http://dbpedia.org/resource/Galileo_Galilei","http://dbpedia.org/ontology/birthDate",1564-02-15
"http://dbpedia.org/resource/Gennady_S._Bisnovatyi-Kogan","http://dbpedia.org/ontology/birthDate",1941-12-06
"http://dbpedia.org/resource/George_Alcock","http://dbpedia.org/ontology/birthDate",1912-08-28
"http://dbpedia.org/resource/George_Biddell_Airy","http://dbpedia.org/ontology/birthDate",1801-07-27
"http://dbpedia.org/resource/George_Ellery_Hale","http://dbpedia.org/ontology/birthDate",1868-06-29
"http://dbpedia.org/resource/George_Gamow","http://dbpedia.org/ontology/birthDate",1904-03-04
"http://dbpedia.org/resource/George_Smoot","http://dbpedia.org/ontology/birthDate",1945-02-20
"http://dbpedia.org/resource/George_Van_Biesbroeck","http://dbpedia.org/ontology/birthDate",1880-01-21
"http://dbpedia.org/resource/George_Wetherill","http://dbpedia.org/ontology/birthDate",1925-08-12
"http://dbpedia.org/resource/George_William_Hill","http://dbpedia.org/ontology/birthDate",1838-03-03
"http://dbpedia.org/resource/Georges_Lemaître","http://dbpedia.org/ontology/birthDate",1894-07-17
"http://dbpedia.org/resource/Halton_Arp","http://dbpedia.org/ontology/birthDate",1927-03-21
"http://dbpedia.org/resource/Hannes_Alfvén","http://dbpedia.org/ontology/birthDate",1908-05-30
"http://dbpedia.org/resource/Hans-Emil_Schuster","http://dbpedia.org/ontology/birthDate",1934-09-19
"http://dbpedia.org/resource/Hans-Walter_Rix","http://dbpedia.org/ontology/birthDate",1964-01-16
"http://dbpedia.org/resource/Hans_Bethe","http://dbpedia.org/ontology/birthDate",1906-07-02
"http://dbpedia.org/resource/Harlow_Shapley","http://dbpedia.org/ontology/birthDate",1885-11-02
"http://dbpedia.org/resource/Harold_Spencer_Jones","http://dbpedia.org/ontology/birthDate",1890-03-29
"http://dbpedia.org/resource/Sallie_Baliunas","http://dbpedia.org/ontology/birthDate",1953-02-23
"http://dbpedia.org/resource/Samuel_Molyneux","http://dbpedia.org/ontology/birthDate",1689-07-16
"http://dbpedia.org/resource/Wilhelm_Beer","http://dbpedia.org/ontology/birthDate",1797-01-04
"http://dbpedia.org/resource/Will_Hay","http://dbpedia.org/ontology/birthDate",1888-12-06
"http://dbpedia.org/resource/Willebrord_Snellius","http://dbpedia.org/ontology/birthDate",1580-06-13
"http://dbpedia.org/resource/Willem_de_Sitter","http://dbpedia.org/ontology/birthDate",1872-05-06
"http://dbpedia.org/resource/William_A._Bradfield","http://dbpedia.org/ontology/birthDate",1927-06-20
"http://dbpedia.org/resource/William_Cranch_Bond","http://dbpedia.org/ontology/birthDate",1789-09-09
"http://dbpedia.org/resource/William_Frederick_Denning","http://dbpedia.org/ontology/birthDate",1848-11-25
"http://dbpedia.org/resource/William_Henry_Pickering","http://dbpedia.org/ontology/birthDate",1858-02-15
"http://dbpedia.org/resource/William_Herschel","http://dbpedia.org/ontology/birthDate",1738-11-15
"http://dbpedia.org/resource/William_Huggins","http://dbpedia.org/ontology/birthDate",1824-02-07
"http://dbpedia.org/resource/William_Kenneth_Hartmann","http://dbpedia.org/ontology/birthDate",1939-06-06
"http://dbpedia.org/resource/William_Lassell","http://dbpedia.org/ontology/birthDate",1799-06-18
"http://dbpedia.org/resource/William_Parsons,_3rd_Earl_of_Rosse","http://dbpedia.org/ontology/birthDate",1800-06-17
"http://dbpedia.org/resource/William_Robert_Brooks","http://dbpedia.org/ontology/birthDate",1844-06-11
"http://dbpedia.org/resource/William_Rutter_Dawes","http://dbpedia.org/ontology/birthDate",1799-03-19
"http://dbpedia.org/resource/William_Wallace_Campbell","http://dbpedia.org/ontology/birthDate",1862-04-11
"http://dbpedia.org/resource/Angelo_Secchi","http://dbpedia.org/ontology/birthDate",1818-06-28
"http://dbpedia.org/resource/Anna_Winlock","http://dbpedia.org/ontology/birthDate",1857-09-15
"http://dbpedia.org/resource/Anne_Barbara_Underhill","http://dbpedia.org/ontology/birthDate",1920-06-12
"http://dbpedia.org/resource/Anne_Sewell_Young","http://dbpedia.org/ontology/birthDate",1871-01-02
"http://dbpedia.org/resource/Annibale_de_Gasparis","http://dbpedia.org/ontology/birthDate",1819-11-09
"http://dbpedia.org/resource/Annie_Jump_Cannon","http://dbpedia.org/ontology/birthDate",1863-12-11
"http://dbpedia.org/resource/Antonia_Maury","http://dbpedia.org/ontology/birthDate",1866-03-21
"http://dbpedia.org/resource/Antonio_Abetti","http://dbpedia.org/ontology/birthDate",1846-06-19
"http://dbpedia.org/resource/Antonio_de_Ulloa","http://dbpedia.org/ontology/birthDate",1716-01-12
"http://dbpedia.org/resource/Antony_Hewish","http://dbpedia.org/ontology/birthDate",1924-05-11
"http://dbpedia.org/resource/Emily_Lakdawalla","http://dbpedia.org/ontology/birthDate",1975-02-08
"http://dbpedia.org/resource/Emma_Vyssotsky","http://dbpedia.org/ontology/birthDate",1894-10-23
"http://dbpedia.org/resource/Erasmus_Reinhold","http://dbpedia.org/ontology/birthDate",1511-10-22
"http://dbpedia.org/resource/Ernest_William_Brown","http://dbpedia.org/ontology/birthDate",1866-11-29
"http://dbpedia.org/resource/Ernst_Öpik","http://dbpedia.org/ontology/birthDate",1893-10-22
"http://dbpedia.org/resource/Eugene_Merle_Shoemaker","http://dbpedia.org/ontology/birthDate",1928-04-28
"http://dbpedia.org/resource/Eugene_Parker","http://dbpedia.org/ontology/birthDate",1927-06-10
"http://dbpedia.org/resource/Eva_Ahnert-Rohlfs","http://dbpedia.org/ontology/birthDate",1912-08-11
"http://dbpedia.org/resource/Andrew_Ainslie_Common","http://dbpedia.org/ontology/birthDate",1841-08-07
"http://dbpedia.org/resource/Gerard_K._O'Neill","http://dbpedia.org/ontology/birthDate",1927-02-06
"http://dbpedia.org/resource/Giorgio_Abetti","http://dbpedia.org/ontology/birthDate",1882-10-05
"http://dbpedia.org/resource/Giovanni_Battista_Donati","http://dbpedia.org/ontology/birthDate",1826-12-16
"http://dbpedia.org/resource/Giovanni_Battista_Riccioli","http://dbpedia.org/ontology/birthDate",1598-04-17
"http://dbpedia.org/resource/Giovanni_Domenico_Cassini","http://dbpedia.org/ontology/birthDate",1625-06-08
"http://dbpedia.org/resource/Giovanni_Schiaparelli","http://dbpedia.org/ontology/birthDate",1835-03-14
"http://dbpedia.org/resource/Giuseppe_Piazzi","http://dbpedia.org/ontology/birthDate",1746-07-16
"http://dbpedia.org/resource/Godefroy_Wendelin","http://dbpedia.org/ontology/birthDate",1580-06-06
"http://dbpedia.org/resource/Marc_Aaronson","http://dbpedia.org/ontology/birthDate",1950-08-24
"http://dbpedia.org/resource/Marc_Kuchner","http://dbpedia.org/ontology/birthDate",1972-08-07
"http://dbpedia.org/resource/Marcel_Minnaert","http://dbpedia.org/ontology/birthDate",1893-02-12
"http://dbpedia.org/resource/Marcelo_Gleiser","http://dbpedia.org/ontology/birthDate",1959-03-19
"http://dbpedia.org/resource/Margaret_Burbidge","http://dbpedia.org/ontology/birthDate",1919-08-12
"http://dbpedia.org/resource/Margaret_Geller","http://dbpedia.org/ontology/birthDate",1947-12-08
"http://dbpedia.org/resource/Mark_M._Phillips","http://dbpedia.org/ontology/birthDate",1951-03-31
"http://dbpedia.org/resource/Martin_Rees","http://dbpedia.org/ontology/birthDate",1942-06-23
"http://dbpedia.org/resource/Martin_Ryle","http://dbpedia.org/ontology/birthDate",1918-09-27
"http://dbpedia.org/resource/Martin_Schwarzschild","http://dbpedia.org/ontology/birthDate",1912-05-31
"http://dbpedia.org/resource/Mary_Watson_Whitney","http://dbpedia.org/ontology/birthDate",1847-09-11
"http://dbpedia.org/resource/Urbain_Le_Verrier","http://dbpedia.org/ontology/birthDate",1811-03-11
"http://dbpedia.org/resource/Brian_G._Marsden","http://dbpedia.org/ontology/birthDate",1937-08-05
"http://dbpedia.org/resource/Bruno_Rossi","http://dbpedia.org/ontology/birthDate",1905-04-13
"http://dbpedia.org/resource/Jack_Wisdom","http://dbpedia.org/ontology/birthDate",1953-01-28
"http://dbpedia.org/resource/Jacobus_Kapteyn","http://dbpedia.org/ontology/birthDate",1851-01-19
"http://dbpedia.org/resource/Jacques_Cassini","http://dbpedia.org/ontology/birthDate",1677-02-18
"http://dbpedia.org/resource/Jamal_Nazrul_Islam","http://dbpedia.org/ontology/birthDate",1939-02-24
"http://dbpedia.org/resource/James_Binney","http://dbpedia.org/ontology/birthDate",1950-04-12
"http://dbpedia.org/resource/James_Challis","http://dbpedia.org/ontology/birthDate",1803-12-12
"http://dbpedia.org/resource/James_Clerk_Maxwell","http://dbpedia.org/ontology/birthDate",1831-06-13
"http://dbpedia.org/resource/James_Craig_Watson","http://dbpedia.org/ontology/birthDate",1838-01-28
"http://dbpedia.org/resource/James_Dunlop","http://dbpedia.org/ontology/birthDate",1793-10-31
"http://dbpedia.org/resource/James_Edward_Keeler","http://dbpedia.org/ontology/birthDate",1857-09-10
"http://dbpedia.org/resource/James_Ferguson_(American_astronomer)","http://dbpedia.org/ontology/birthDate",1797-08-31
"http://dbpedia.org/resource/James_Jeans","http://dbpedia.org/ontology/birthDate",1877-09-11
"http://dbpedia.org/resource/James_Lind_(naturalist)","http://dbpedia.org/ontology/birthDate",1736-05-17
"http://dbpedia.org/resource/James_Michael_Moran","http://dbpedia.org/ontology/birthDate",1943-01-03
"http://dbpedia.org/resource/James_South","http://dbpedia.org/ontology/birthDate",1785-10-15
"http://dbpedia.org/resource/James_Van_Allen","http://dbpedia.org/ontology/birthDate",1914-09-07
"http://dbpedia.org/resource/James_Whitney_Young","http://dbpedia.org/ontology/birthDate",1941-01-24
"http://dbpedia.org/resource/Janet_Akyüz_Mattei","http://dbpedia.org/ontology/birthDate",1943-01-02
"http://dbpedia.org/resource/Jayant_Narlikar","http://dbpedia.org/ontology/birthDate",1938-07-19
"http://dbpedia.org/resource/Jean-Claude_Pecker","http://dbpedia.org/ontology/birthDate",1923-05-10
"http://dbpedia.org/resource/Jean-Louis_Pons","http://dbpedia.org/ontology/birthDate",1761-12-24
"http://dbpedia.org/resource/Jean_Sylvain_Bailly","http://dbpedia.org/ontology/birthDate",1736-09-15
"http://dbpedia.org/resource/Kiichirō_Furukawa","http://dbpedia.org/ontology/birthDate",1929-07-22
"http://dbpedia.org/resource/Kim_Weaver","http://dbpedia.org/ontology/birthDate",1964-04-19
"http://dbpedia.org/resource/Matthew_Fontaine_Maury","http://dbpedia.org/ontology/birthDate",1806-01-14
"http://dbpedia.org/resource/Maximilian_Hell","http://dbpedia.org/ontology/birthDate",1720-05-15
"http://dbpedia.org/resource/Mercedes_Richards","http://dbpedia.org/ontology/birthDate",1955-05-14
"http://dbpedia.org/resource/Merieme_Chadid","http://dbpedia.org/ontology/birthDate",1969-10-11
"http://dbpedia.org/resource/Regiomontanus","http://dbpedia.org/ontology/birthDate",1436-06-06
"http://dbpedia.org/resource/Nilakantha_Somayaji","http://dbpedia.org/ontology/birthDate",1444-06-14
"http://dbpedia.org/resource/Norio_Kaifu","http://dbpedia.org/ontology/birthDate",1943-09-21
"http://dbpedia.org/resource/Yusuke_Hagihara","http://dbpedia.org/ontology/birthDate",1897-03-28
"http://dbpedia.org/resource/Liisi_Oterma","http://dbpedia.org/ontology/birthDate",1915-01-06
"http://dbpedia.org/resource/Frances_Woodworth_Wright","http://dbpedia.org/ontology/birthDate",1897-04-30
"http://dbpedia.org/resource/Clyde_Tombaugh","http://dbpedia.org/ontology/birthDate",1906-02-04
"http://dbpedia.org/resource/John_Johnson_(astronomer)","http://dbpedia.org/ontology/birthDate",1977-01-04
"http://dbpedia.org/resource/John_Michell","http://dbpedia.org/ontology/birthDate",1724-12-25
"http://dbpedia.org/resource/John_N._Bahcall","http://dbpedia.org/ontology/birthDate",1934-12-30
"http://dbpedia.org/resource/John_Russell_Hind","http://dbpedia.org/ontology/birthDate",1823-05-12
"http://dbpedia.org/resource/John_Stanley_Plaskett","http://dbpedia.org/ontology/birthDate",1865-11-17
"http://dbpedia.org/resource/John_Winthrop_(educator)","http://dbpedia.org/ontology/birthDate",1714-12-19
"http://dbpedia.org/resource/John_Zarnecki","http://dbpedia.org/ontology/birthDate",1949-11-06
"http://dbpedia.org/resource/Joseph_Hooton_Taylor_Jr.","http://dbpedia.org/ontology/birthDate",1941-03-29
"http://dbpedia.org/resource/Joseph_von_Fraunhofer","http://dbpedia.org/ontology/birthDate",1787-03-06
"http://dbpedia.org/resource/Judith_Young_(astronomer)","http://dbpedia.org/ontology/birthDate",1952-09-15
"http://dbpedia.org/resource/Saul_Perlmutter","http://dbpedia.org/ontology/birthDate",1959-09-22
"http://dbpedia.org/resource/Sergei_Kopeikin","http://dbpedia.org/ontology/birthDate",1956-04-10
"http://dbpedia.org/resource/Barry_G._Clark","http://dbpedia.org/ontology/birthDate",1938-03-05
"http://dbpedia.org/resource/Bart_Bok","http://dbpedia.org/ontology/birthDate",1906-04-28
"http://dbpedia.org/resource/Ingrid_van_Houten-Groeneveld","http://dbpedia.org/ontology/birthDate",1921-10-21
"http://dbpedia.org/resource/Ira_Sprague_Bowen","http://dbpedia.org/ontology/birthDate",1898-12-21
"http://dbpedia.org/resource/Isaac_Newton","http://dbpedia.org/ontology/birthDate",1642-12-25
"http://dbpedia.org/resource/Issei_Yamamoto","http://dbpedia.org/ontology/birthDate",1889-05-27
"http://dbpedia.org/resource/J._Allen_Hynek","http://dbpedia.org/ontology/birthDate",1910-05-01
"http://dbpedia.org/resource/J._Richard_Fisher","http://dbpedia.org/ontology/birthDate",1943-12-10
"http://dbpedia.org/resource/Tycho_Brahe","http://dbpedia.org/ontology/birthDate",1546-12-14
"http://dbpedia.org/resource/Abdus_Salam","http://dbpedia.org/ontology/birthDate",1926-01-29
"http://dbpedia.org/resource/Abraham_Zacuto","http://dbpedia.org/ontology/birthDate",1452-08-12
"http://dbpedia.org/resource/Adam_Riess","http://dbpedia.org/ontology/birthDate",1969-12-16
"http://dbpedia.org/resource/Adolphe_Quetelet","http://dbpedia.org/ontology/birthDate",1796-02-22
"http://dbpedia.org/resource/Adriaan_Blaauw","http://dbpedia.org/ontology/birthDate",1914-04-12
"http://dbpedia.org/resource/Adriaan_van_Maanen","http://dbpedia.org/ontology/birthDate",1884-03-31
"http://dbpedia.org/resource/Camille_Flammarion","http://dbpedia.org/ontology/birthDate",1842-02-26
"http://dbpedia.org/resource/Cecilia_Payne-Gaposchkin","http://dbpedia.org/ontology/birthDate",1900-05-10
"http://dbpedia.org/resource/Chad_Trujillo","http://dbpedia.org/ontology/birthDate",1973-11-22
"http://dbpedia.org/resource/Chandra_Wickramasinghe","http://dbpedia.org/ontology/birthDate",1939-01-20
"http://dbpedia.org/resource/Charles-Eugène_Delaunay","http://dbpedia.org/ontology/birthDate",1816-04-09
"http://dbpedia.org/resource/Charles_Augustus_Young","http://dbpedia.org/ontology/birthDate",1834-12-15
"http://dbpedia.org/resource/Charles_Bruce_Stephenson","http://dbpedia.org/ontology/birthDate",1929-02-09
"http://dbpedia.org/resource/Charles_Dillon_Perrine","http://dbpedia.org/ontology/birthDate",1867-07-28
"http://dbpedia.org/resource/Charles_Fehrenbach_(astronomer)","http://dbpedia.org/ontology/birthDate",1914-04-29
"http://dbpedia.org/resource/Charles_Greeley_Abbot","http://dbpedia.org/ontology/birthDate",1872-05-31
"http://dbpedia.org/resource/Charles_L._Bennett","http://dbpedia.org/ontology/birthDate",1956-11-16
"http://dbpedia.org/resource/Charles_Messier","http://dbpedia.org/ontology/birthDate",1730-06-26
"http://dbpedia.org/resource/Charles_Pritchard","http://dbpedia.org/ontology/birthDate",1808-02-29
"http://dbpedia.org/resource/Charles_T._Kowal","http://dbpedia.org/ontology/birthDate",1940-11-08
"http://dbpedia.org/resource/Charlotte_Moore_Sitterly","http://dbpedia.org/ontology/birthDate",1898-09-24
"http://dbpedia.org/resource/Chris_Impey","http://dbpedia.org/ontology/birthDate",1956-01-25
"http://dbpedia.org/resource/Chris_Lintott","http://dbpedia.org/ontology/birthDate",1980-11-26
"http://dbpedia.org/resource/Christiaan_Huygens","http://dbpedia.org/ontology/birthDate",1629-04-14
"http://dbpedia.org/resource/Christian_Heinrich_Friedrich_Peters","http://dbpedia.org/ontology/birthDate",1813-09-19
"http://dbpedia.org/resource/Christopher_Hansteen","http://dbpedia.org/ontology/birthDate",1784-11-26
"http://dbpedia.org/resource/Chushiro_Hayashi","http://dbpedia.org/ontology/birthDate",1920-07-25
"http://dbpedia.org/resource/Subrahmanyan_Chandrasekhar","http://dbpedia.org/ontology/birthDate",1910-10-19
"http://dbpedia.org/resource/Carl_Friedrich_Gauss","http://dbpedia.org/ontology/birthDate",1777-04-30
"http://dbpedia.org/resource/Carl_Friedrich_von_Weizsäcker","http://dbpedia.org/ontology/birthDate",1912-06-28
"http://dbpedia.org/resource/Carl_Sagan","http://dbpedia.org/ontology/birthDate",1934-11-09
"http://dbpedia.org/resource/Caroline_Herschel","http://dbpedia.org/ontology/birthDate",1750-03-16
"http://dbpedia.org/resource/Carolyn_Porco","http://dbpedia.org/ontology/birthDate",1953-03-06
"http://dbpedia.org/resource/Horace_W._Babcock","http://dbpedia.org/ontology/birthDate",1912-09-13
"http://dbpedia.org/resource/Hubert_Reeves","http://dbpedia.org/ontology/birthDate",1932-07-13
"http://dbpedia.org/resource/Dominique,_comte_de_Cassini","http://dbpedia.org/ontology/birthDate",1748-06-30
"http://dbpedia.org/resource/Donald_Edward_Osterbrock","http://dbpedia.org/ontology/birthDate",1924-07-13
"http://dbpedia.org/resource/Donald_Lynden-Bell","http://dbpedia.org/ontology/birthDate",1935-04-05
"http://dbpedia.org/resource/Dorrit_Hoffleit","http://dbpedia.org/ontology/birthDate",1907-03-12
"http://dbpedia.org/resource/E._M._Antoniadi","http://dbpedia.org/ontology/birthDate",1870-03-01
"http://dbpedia.org/resource/Simon_Marius","http://dbpedia.org/ontology/birthDate",1573-01-10
"http://dbpedia.org/resource/Simon_Newcomb","http://dbpedia.org/ontology/birthDate",1835-03-12
"http://dbpedia.org/resource/Somnath_Bharadwaj","http://dbpedia.org/ontology/birthDate",1964-10-28
"http://dbpedia.org/resource/Waltraut_Seitter","http://dbpedia.org/ontology/birthDate",1930-01-13
"http://dbpedia.org/resource/Cornelis_Johannes_van_Houten","http://dbpedia.org/ontology/birthDate",1920-02-18
"http://dbpedia.org/resource/Cuno_Hoffmeister","http://dbpedia.org/ontology/birthDate",1892-02-02
"http://dbpedia.org/resource/César-François_Cassini_de_Thury","http://dbpedia.org/ontology/birthDate",1714-06-17
"http://dbpedia.org/resource/Grote_Reber","http://dbpedia.org/ontology/birthDate",1911-12-22
"http://dbpedia.org/resource/Guillaume_Bigourdan","http://dbpedia.org/ontology/birthDate",1851-04-06
"http://dbpedia.org/resource/Guillaume_Le_Gentil","http://dbpedia.org/ontology/birthDate",1725-09-12
"http://dbpedia.org/resource/Gustav_Müller_(astronomer)","http://dbpedia.org/ontology/birthDate",1851-05-07
"http://dbpedia.org/resource/Gustavo_E._Romero","http://dbpedia.org/ontology/birthDate",1964-09-20
"http://dbpedia.org/resource/Guy_Consolmagno","http://dbpedia.org/ontology/birthDate",1952-09-19
"http://dbpedia.org/resource/Gérard_de_Vaucouleurs","http://dbpedia.org/ontology/birthDate",1918-04-25
"http://dbpedia.org/resource/Heather_Couper","http://dbpedia.org/ontology/birthDate",1949-06-02
"http://dbpedia.org/resource/Heber_Doust_Curtis","http://dbpedia.org/ontology/birthDate",1872-06-27
"http://dbpedia.org/resource/Heidi_Hammel","http://dbpedia.org/ontology/birthDate",1960-03-14
"http://dbpedia.org/resource/Heinrich_Wilhelm_Matthias_Olbers","http://dbpedia.org/ontology/birthDate",1758-10-11
"http://dbpedia.org/resource/Helen_Dodson_Prince","http://dbpedia.org/ontology/birthDate",1905-12-31
"http://dbpedia.org/resource/Helen_Sawyer_Hogg","http://dbpedia.org/ontology/birthDate",1905-08-01
"http://dbpedia.org/resource/Hendrik_C._van_de_Hulst","http://dbpedia.org/ontology/birthDate",1918-11-19
"http://dbpedia.org/resource/Henri-Alexandre_Deslandres","http://dbpedia.org/ontology/birthDate",1853-07-24
"http://dbpedia.org/resource/Henrietta_Swan_Leavitt","http://dbpedia.org/ontology/birthDate",1868-07-04
"http://dbpedia.org/resource/Henry_Draper","http://dbpedia.org/ontology/birthDate",1837-03-07
"http://dbpedia.org/resource/Henry_Kandrup","http://dbpedia.org/ontology/birthDate",1955-07-24
"http://dbpedia.org/resource/Henry_L._Giclas","http://dbpedia.org/ontology/birthDate",1910-12-09
"http://dbpedia.org/resource/Henry_Norris_Russell","http://dbpedia.org/ontology/birthDate",1877-10-25
"http://dbpedia.org/resource/Herbert_Alonzo_Howe","http://dbpedia.org/ontology/birthDate",1858-11-22
"http://dbpedia.org/resource/Herbert_Dingle","http://dbpedia.org/ontology/birthDate",1890-08-02
"http://dbpedia.org/resource/Herbert_Hall_Turner","http://dbpedia.org/ontology/birthDate",1861-08-13
"http://dbpedia.org/resource/Hermann_Goldschmidt","http://dbpedia.org/ontology/birthDate",1802-06-17
"http://dbpedia.org/resource/Hiroki_Kosai","http://dbpedia.org/ontology/birthDate",1933-08-02
"http://dbpedia.org/resource/Maarten_Schmidt","http://dbpedia.org/ontology/birthDate",1929-12-28
"http://dbpedia.org/resource/Riazuddin_(physicist)","http://dbpedia.org/ontology/birthDate",1930-11-10
